,reaction_id,reaction_type,product_id,reactant_ids,product_smiles,reactant_smiles,product_mol,reactant_mols,reaction_smiles,participating_compounds
52007,52008,Williamson_ether_synthesis,52837,"{25536, 35795}",CCN(CCC#N)C(=O)COc1cc(NC(=O)CSC)ccc1C,"{'CCN(CCC#N)C(=O)CCl', 'CSCC(=O)Nc1ccc(C)c(O)c1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f0e0eac70>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eb08b5d10>, <rdkit.Chem.rdchem.Mol object at 0x7f6eb08b5cc0>}",CCN(CCC#N)C(=O)CCl.CSCC(=O)Nc1ccc(C)c(O)c1>>CCN(CCC#N)C(=O)COc1cc(NC(=O)CSC)ccc1C,"{'CCN(CCC#N)C(=O)CCl', 'CSCC(=O)Nc1ccc(C)c(O)c1', 'CCN(CCC#N)C(=O)COc1cc(NC(=O)CSC)ccc1C'}"
52009,52010,Williamson_ether_synthesis,52839,"{25584, 35795}",CSCC(=O)Nc1ccc(C)c(OCC(=O)N(C)C(C)(C)C#N)c1,"{'CN(C(=O)CCl)C(C)(C)C#N', 'CSCC(=O)Nc1ccc(C)c(O)c1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f0e0ead10>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eb08b5e00>, <rdkit.Chem.rdchem.Mol object at 0x7f6eb08b5e50>}",CN(C(=O)CCl)C(C)(C)C#N.CSCC(=O)Nc1ccc(C)c(O)c1>>CSCC(=O)Nc1ccc(C)c(OCC(=O)N(C)C(C)(C)C#N)c1,"{'CN(C(=O)CCl)C(C)(C)C#N', 'CSCC(=O)Nc1ccc(C)c(O)c1', 'CSCC(=O)Nc1ccc(C)c(OCC(=O)N(C)C(C)(C)C#N)c1'}"
52012,52013,Williamson_ether_synthesis,52842,"{25568, 35795}",CSCC(=O)Nc1ccc(C)c(OC(C)C(=O)N2CCNC2=O)c1,"{'CSCC(=O)Nc1ccc(C)c(O)c1', 'CC(Cl)C(=O)N1CCNC1=O'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f0e0eae00>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eb08be090>, <rdkit.Chem.rdchem.Mol object at 0x7f6eb08be040>}",CSCC(=O)Nc1ccc(C)c(O)c1.CC(Cl)C(=O)N1CCNC1=O>>CSCC(=O)Nc1ccc(C)c(OC(C)C(=O)N2CCNC2=O)c1,"{'CSCC(=O)Nc1ccc(C)c(O)c1', 'CC(Cl)C(=O)N1CCNC1=O', 'CSCC(=O)Nc1ccc(C)c(OC(C)C(=O)N2CCNC2=O)c1'}"
52013,52014,Williamson_ether_synthesis,52843,"{25560, 35795}",CSCC(=O)Nc1ccc(C)c(OCC(=O)N2CCNC(=O)C2)c1,"{'CSCC(=O)Nc1ccc(C)c(O)c1', 'O=C1CN(C(=O)CCl)CCN1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f0e0eae50>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eb08be130>, <rdkit.Chem.rdchem.Mol object at 0x7f6eb08be0e0>}",CSCC(=O)Nc1ccc(C)c(O)c1.O=C1CN(C(=O)CCl)CCN1>>CSCC(=O)Nc1ccc(C)c(OCC(=O)N2CCNC(=O)C2)c1,"{'CSCC(=O)Nc1ccc(C)c(OCC(=O)N2CCNC(=O)C2)c1', 'CSCC(=O)Nc1ccc(C)c(O)c1', 'O=C1CN(C(=O)CCl)CCN1'}"
52014,52015,Williamson_ether_synthesis,52844,"{21234, 35795}",CSCC(=O)Nc1ccc(C)c(OC(C)C(=O)N2CCOCC2)c1,"{'CSCC(=O)Nc1ccc(C)c(O)c1', 'CC(Cl)C(=O)N1CCOCC1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f0e0eaea0>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eb08be180>, <rdkit.Chem.rdchem.Mol object at 0x7f6eb08be1d0>}",CSCC(=O)Nc1ccc(C)c(O)c1.CC(Cl)C(=O)N1CCOCC1>>CSCC(=O)Nc1ccc(C)c(OC(C)C(=O)N2CCOCC2)c1,"{'CSCC(=O)Nc1ccc(C)c(O)c1', 'CSCC(=O)Nc1ccc(C)c(OC(C)C(=O)N2CCOCC2)c1', 'CC(Cl)C(=O)N1CCOCC1'}"
52070,52071,Williamson_ether_synthesis,52900,"{25568, 31674}",CSCC(=O)Nc1cc(OC(C)C(=O)N2CCNC2=O)ccc1C,"{'CC(Cl)C(=O)N1CCNC1=O', 'CSCC(=O)Nc1cc(O)ccc1C'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f0e0f50e0>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eb084e590>, <rdkit.Chem.rdchem.Mol object at 0x7f6eb084e540>}",CC(Cl)C(=O)N1CCNC1=O.CSCC(=O)Nc1cc(O)ccc1C>>CSCC(=O)Nc1cc(OC(C)C(=O)N2CCNC2=O)ccc1C,"{'CSCC(=O)Nc1cc(OC(C)C(=O)N2CCNC2=O)ccc1C', 'CC(Cl)C(=O)N1CCNC1=O', 'CSCC(=O)Nc1cc(O)ccc1C'}"
52071,52072,Williamson_ether_synthesis,52901,"{25560, 31674}",CSCC(=O)Nc1cc(OCC(=O)N2CCNC(=O)C2)ccc1C,"{'O=C1CN(C(=O)CCl)CCN1', 'CSCC(=O)Nc1cc(O)ccc1C'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f0e0f5130>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eb084e630>, <rdkit.Chem.rdchem.Mol object at 0x7f6eb084e5e0>}",O=C1CN(C(=O)CCl)CCN1.CSCC(=O)Nc1cc(O)ccc1C>>CSCC(=O)Nc1cc(OCC(=O)N2CCNC(=O)C2)ccc1C,"{'O=C1CN(C(=O)CCl)CCN1', 'CSCC(=O)Nc1cc(OCC(=O)N2CCNC(=O)C2)ccc1C', 'CSCC(=O)Nc1cc(O)ccc1C'}"
52075,52076,Williamson_ether_synthesis,52905,"{25592, 31674}",CSCC(=O)Nc1cc(OCC(=O)N2CCC(C)CC2)ccc1C,"{'CC1CCN(C(=O)CCl)CC1', 'CSCC(=O)Nc1cc(O)ccc1C'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f0e0f5270>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eb084e8b0>, <rdkit.Chem.rdchem.Mol object at 0x7f6eb084e860>}",CC1CCN(C(=O)CCl)CC1.CSCC(=O)Nc1cc(O)ccc1C>>CSCC(=O)Nc1cc(OCC(=O)N2CCC(C)CC2)ccc1C,"{'CC1CCN(C(=O)CCl)CC1', 'CSCC(=O)Nc1cc(OCC(=O)N2CCC(C)CC2)ccc1C', 'CSCC(=O)Nc1cc(O)ccc1C'}"
52078,52079,Williamson_ether_synthesis,52908,"{31674, 25594}",CSCC(=O)Nc1cc(OCC(=O)N2CCCCC2C)ccc1C,"{'CC1CCCCN1C(=O)CCl', 'CSCC(=O)Nc1cc(O)ccc1C'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f0e0f5360>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eb084ea90>, <rdkit.Chem.rdchem.Mol object at 0x7f6eb084ea40>}",CC1CCCCN1C(=O)CCl.CSCC(=O)Nc1cc(O)ccc1C>>CSCC(=O)Nc1cc(OCC(=O)N2CCCCC2C)ccc1C,"{'CC1CCCCN1C(=O)CCl', 'CSCC(=O)Nc1cc(OCC(=O)N2CCCCC2C)ccc1C', 'CSCC(=O)Nc1cc(O)ccc1C'}"
52082,52083,Williamson_ether_synthesis,52912,"{31674, 25628}",C=CCN(CC=C)C(=O)COc1ccc(C)c(NC(=O)CSC)c1,"{'C=CCN(CC=C)C(=O)CCl', 'CSCC(=O)Nc1cc(O)ccc1C'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f0e0f54a0>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eb084ed10>, <rdkit.Chem.rdchem.Mol object at 0x7f6eb084ecc0>}",C=CCN(CC=C)C(=O)CCl.CSCC(=O)Nc1cc(O)ccc1C>>C=CCN(CC=C)C(=O)COc1ccc(C)c(NC(=O)CSC)c1,"{'C=CCN(CC=C)C(=O)COc1ccc(C)c(NC(=O)CSC)c1', 'C=CCN(CC=C)C(=O)CCl', 'CSCC(=O)Nc1cc(O)ccc1C'}"
