,reaction_id,reaction_type,product_id,reactant_ids,product_smiles,reactant_smiles,product_mol,reactant_mols,reaction_smiles,participating_compounds
1972,1973,Amidation,2163,"{2162, 85}",CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,"{'O=C(O)C1CCCO1', 'CC(C)(C)OC(=O)Nc1cccc(N)c1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788b180>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0af220>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0af270>}",O=C(O)C1CCCO1.CC(C)(C)OC(=O)Nc1cccc(N)c1>>CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,"{'O=C(O)C1CCCO1', 'CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCCO2)c1', 'CC(C)(C)OC(=O)Nc1cccc(N)c1'}"
1973,1974,N-Boc_deprotection,2164,{2163},Nc1cccc(NC(=O)C2CCCO2)c1,{'CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCCO2)c1'},<rdkit.Chem.rdchem.Mol object at 0x7f6f2788b1d0>,{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0af2c0>},CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCCO2)c1>>Nc1cccc(NC(=O)C2CCCO2)c1,"{'CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCCO2)c1', 'Nc1cccc(NC(=O)C2CCCO2)c1'}"
1974,1975,Amidation,2165,"{89, 2164}",N#CCC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,"{'N#CCC(=O)O', 'Nc1cccc(NC(=O)C2CCCO2)c1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788b220>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0af310>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0af360>}",N#CCC(=O)O.Nc1cccc(NC(=O)C2CCCO2)c1>>N#CCC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,"{'N#CCC(=O)O', 'N#CCC(=O)Nc1cccc(NC(=O)C2CCCO2)c1', 'Nc1cccc(NC(=O)C2CCCO2)c1'}"
1986,1987,Amidation,2181,"{2180, 85}",CC(C)(C)OC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,"{'O=C(O)C1CCCO1', 'CC(C)(C)OC(=O)Nc1cc(N)ccc1F'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788b5e0>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0af9a0>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0af9f0>}",O=C(O)C1CCCO1.CC(C)(C)OC(=O)Nc1cc(N)ccc1F>>CC(C)(C)OC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,"{'O=C(O)C1CCCO1', 'CC(C)(C)OC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F', 'CC(C)(C)OC(=O)Nc1cc(N)ccc1F'}"
1987,1988,N-Boc_deprotection,2182,{2181},Nc1cc(NC(=O)C2CCCO2)ccc1F,{'CC(C)(C)OC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F'},<rdkit.Chem.rdchem.Mol object at 0x7f6f2788b630>,{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0afa40>},CC(C)(C)OC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F>>Nc1cc(NC(=O)C2CCCO2)ccc1F,"{'CC(C)(C)OC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F', 'Nc1cc(NC(=O)C2CCCO2)ccc1F'}"
1988,1989,Amidation,2183,"{89, 2182}",N#CCC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,"{'N#CCC(=O)O', 'Nc1cc(NC(=O)C2CCCO2)ccc1F'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788b680>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0afa90>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0afae0>}",N#CCC(=O)O.Nc1cc(NC(=O)C2CCCO2)ccc1F>>N#CCC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,"{'N#CCC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F', 'N#CCC(=O)O', 'Nc1cc(NC(=O)C2CCCO2)ccc1F'}"
1989,1990,Amidation,2184,"{2162, 95}",CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCC(=O)O2)c1,"{'O=C1CCC(C(=O)O)O1', 'CC(C)(C)OC(=O)Nc1cccc(N)c1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788b6d0>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0afb80>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0afb30>}",O=C1CCC(C(=O)O)O1.CC(C)(C)OC(=O)Nc1cccc(N)c1>>CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCC(=O)O2)c1,"{'O=C1CCC(C(=O)O)O1', 'CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCC(=O)O2)c1', 'CC(C)(C)OC(=O)Nc1cccc(N)c1'}"
1990,1991,N-Boc_deprotection,2185,{2184},Nc1cccc(NC(=O)C2CCC(=O)O2)c1,{'CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCC(=O)O2)c1'},<rdkit.Chem.rdchem.Mol object at 0x7f6f2788b720>,{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0afbd0>},CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCC(=O)O2)c1>>Nc1cccc(NC(=O)C2CCC(=O)O2)c1,"{'Nc1cccc(NC(=O)C2CCC(=O)O2)c1', 'CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCC(=O)O2)c1'}"
1991,1992,Amidation,2186,"{89, 2185}",N#CCC(=O)Nc1cccc(NC(=O)C2CCC(=O)O2)c1,"{'Nc1cccc(NC(=O)C2CCC(=O)O2)c1', 'N#CCC(=O)O'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788b770>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0afc20>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0afc70>}",Nc1cccc(NC(=O)C2CCC(=O)O2)c1.N#CCC(=O)O>>N#CCC(=O)Nc1cccc(NC(=O)C2CCC(=O)O2)c1,"{'Nc1cccc(NC(=O)C2CCC(=O)O2)c1', 'N#CCC(=O)Nc1cccc(NC(=O)C2CCC(=O)O2)c1', 'N#CCC(=O)O'}"
2004,2005,Amidation,2200,"{2162, 91}",CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2(C)CCCO2)c1,"{'CC(C)(C)OC(=O)Nc1cccc(N)c1', 'CC1(C(=O)O)CCCO1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788bb80>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0b7400>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0b73b0>}",CC(C)(C)OC(=O)Nc1cccc(N)c1.CC1(C(=O)O)CCCO1>>CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2(C)CCCO2)c1,"{'CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2(C)CCCO2)c1', 'CC(C)(C)OC(=O)Nc1cccc(N)c1', 'CC1(C(=O)O)CCCO1'}"
2005,2006,N-Boc_deprotection,2201,{2200},CC1(C(=O)Nc2cccc(N)c2)CCCO1,{'CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2(C)CCCO2)c1'},<rdkit.Chem.rdchem.Mol object at 0x7f6f2788bbd0>,{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0b7450>},CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2(C)CCCO2)c1>>CC1(C(=O)Nc2cccc(N)c2)CCCO1,"{'CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2(C)CCCO2)c1', 'CC1(C(=O)Nc2cccc(N)c2)CCCO1'}"
2006,2007,Amidation,2202,"{89, 2201}",CC1(C(=O)Nc2cccc(NC(=O)CC#N)c2)CCCO1,"{'N#CCC(=O)O', 'CC1(C(=O)Nc2cccc(N)c2)CCCO1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788bc20>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0b74a0>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0b74f0>}",N#CCC(=O)O.CC1(C(=O)Nc2cccc(N)c2)CCCO1>>CC1(C(=O)Nc2cccc(NC(=O)CC#N)c2)CCCO1,"{'N#CCC(=O)O', 'CC1(C(=O)Nc2cccc(NC(=O)CC#N)c2)CCCO1', 'CC1(C(=O)Nc2cccc(N)c2)CCCO1'}"
2048,2049,Amidation,2256,"{85, 2255}",Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C,"{'O=C(O)C1CCCO1', 'Cc1ccc(N)cc1NC(=O)OC(C)(C)C'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788f9a0>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0bcb80>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0bcb30>}",O=C(O)C1CCCO1.Cc1ccc(N)cc1NC(=O)OC(C)(C)C>>Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C,"{'O=C(O)C1CCCO1', 'Cc1ccc(N)cc1NC(=O)OC(C)(C)C', 'Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C'}"
2049,2050,N-Boc_deprotection,2257,{2256},Cc1ccc(NC(=O)C2CCCO2)cc1N,{'Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C'},<rdkit.Chem.rdchem.Mol object at 0x7f6f2788f9f0>,{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0bcbd0>},Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C>>Cc1ccc(NC(=O)C2CCCO2)cc1N,"{'Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C', 'Cc1ccc(NC(=O)C2CCCO2)cc1N'}"
2050,2051,Amidation,2258,"{89, 2257}",Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)CC#N,"{'N#CCC(=O)O', 'Cc1ccc(NC(=O)C2CCCO2)cc1N'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788fa40>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0bcc20>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0bcc70>}",N#CCC(=O)O.Cc1ccc(NC(=O)C2CCCO2)cc1N>>Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)CC#N,"{'Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)CC#N', 'N#CCC(=O)O', 'Cc1ccc(NC(=O)C2CCCO2)cc1N'}"
2051,2052,Amidation,2260,"{2259, 85}",Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCCO1,"{'O=C(O)C1CCCO1', 'Cc1ccc(NC(=O)OC(C)(C)C)cc1N'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788fa90>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0bcd10>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0bccc0>}",O=C(O)C1CCCO1.Cc1ccc(NC(=O)OC(C)(C)C)cc1N>>Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCCO1,"{'O=C(O)C1CCCO1', 'Cc1ccc(NC(=O)OC(C)(C)C)cc1N', 'Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCCO1'}"
2052,2053,N-Boc_deprotection,2261,{2260},Cc1ccc(N)cc1NC(=O)C1CCCO1,{'Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCCO1'},<rdkit.Chem.rdchem.Mol object at 0x7f6f2788fae0>,{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0bcd60>},Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCCO1>>Cc1ccc(N)cc1NC(=O)C1CCCO1,"{'Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCCO1', 'Cc1ccc(N)cc1NC(=O)C1CCCO1'}"
2053,2054,Amidation,2262,"{89, 2261}",Cc1ccc(NC(=O)CC#N)cc1NC(=O)C1CCCO1,"{'N#CCC(=O)O', 'Cc1ccc(N)cc1NC(=O)C1CCCO1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788fb30>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0bce00>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0bcdb0>}",N#CCC(=O)O.Cc1ccc(N)cc1NC(=O)C1CCCO1>>Cc1ccc(NC(=O)CC#N)cc1NC(=O)C1CCCO1,"{'Cc1ccc(NC(=O)CC#N)cc1NC(=O)C1CCCO1', 'N#CCC(=O)O', 'Cc1ccc(N)cc1NC(=O)C1CCCO1'}"
2054,2055,Amidation,2263,"{2164, 119}",CC(C#N)C(=O)Nc1cccc(NC(=O)C2CCCO2)c1,"{'CC(C#N)C(=O)O', 'Nc1cccc(NC(=O)C2CCCO2)c1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788fb80>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0bcea0>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0bce50>}",CC(C#N)C(=O)O.Nc1cccc(NC(=O)C2CCCO2)c1>>CC(C#N)C(=O)Nc1cccc(NC(=O)C2CCCO2)c1,"{'CC(C#N)C(=O)O', 'Nc1cccc(NC(=O)C2CCCO2)c1', 'CC(C#N)C(=O)Nc1cccc(NC(=O)C2CCCO2)c1'}"
2065,2066,Amidation,2274,"{2259, 95}",Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCC(=O)O1,"{'O=C1CCC(C(=O)O)O1', 'Cc1ccc(NC(=O)OC(C)(C)C)cc1N'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788fef0>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0c34a0>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0c34f0>}",O=C1CCC(C(=O)O)O1.Cc1ccc(NC(=O)OC(C)(C)C)cc1N>>Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCC(=O)O1,"{'O=C1CCC(C(=O)O)O1', 'Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCC(=O)O1', 'Cc1ccc(NC(=O)OC(C)(C)C)cc1N'}"
2066,2067,N-Boc_deprotection,2275,{2274},Cc1ccc(N)cc1NC(=O)C1CCC(=O)O1,{'Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCC(=O)O1'},<rdkit.Chem.rdchem.Mol object at 0x7f6f2788ff40>,{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0c3540>},Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCC(=O)O1>>Cc1ccc(N)cc1NC(=O)C1CCC(=O)O1,"{'Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCC(=O)O1', 'Cc1ccc(N)cc1NC(=O)C1CCC(=O)O1'}"
2067,2068,Amidation,2276,"{89, 2275}",Cc1ccc(NC(=O)CC#N)cc1NC(=O)C1CCC(=O)O1,"{'Cc1ccc(N)cc1NC(=O)C1CCC(=O)O1', 'N#CCC(=O)O'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788ff90>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0c3590>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0c35e0>}",Cc1ccc(N)cc1NC(=O)C1CCC(=O)O1.N#CCC(=O)O>>Cc1ccc(NC(=O)CC#N)cc1NC(=O)C1CCC(=O)O1,"{'Cc1ccc(NC(=O)CC#N)cc1NC(=O)C1CCC(=O)O1', 'Cc1ccc(N)cc1NC(=O)C1CCC(=O)O1', 'N#CCC(=O)O'}"
2091,2092,Amidation,2300,"{2257, 119}",Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)C(C)C#N,"{'CC(C#N)C(=O)O', 'Cc1ccc(NC(=O)C2CCCO2)cc1N'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f27895770>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0cb310>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0cb360>}",CC(C#N)C(=O)O.Cc1ccc(NC(=O)C2CCCO2)cc1N>>Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)C(C)C#N,"{'CC(C#N)C(=O)O', 'Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)C(C)C#N', 'Cc1ccc(NC(=O)C2CCCO2)cc1N'}"
2115,2116,Amidation,2325,"{208, 2164}",CCC(C#N)C(=O)Nc1cccc(NC(=O)C2CCCO2)c1,"{'CCC(C#N)C(=O)O', 'Nc1cccc(NC(=O)C2CCCO2)c1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f27895ef0>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec052090>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec052040>}",CCC(C#N)C(=O)O.Nc1cccc(NC(=O)C2CCCO2)c1>>CCC(C#N)C(=O)Nc1cccc(NC(=O)C2CCCO2)c1,"{'CCC(C#N)C(=O)O', 'Nc1cccc(NC(=O)C2CCCO2)c1', 'CCC(C#N)C(=O)Nc1cccc(NC(=O)C2CCCO2)c1'}"
2116,2117,Amidation,2326,"{91, 2259}",Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1(C)CCCO1,"{'Cc1ccc(NC(=O)OC(C)(C)C)cc1N', 'CC1(C(=O)O)CCCO1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f27895f40>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec052130>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0520e0>}",Cc1ccc(NC(=O)OC(C)(C)C)cc1N.CC1(C(=O)O)CCCO1>>Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1(C)CCCO1,"{'Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1(C)CCCO1', 'Cc1ccc(NC(=O)OC(C)(C)C)cc1N', 'CC1(C(=O)O)CCCO1'}"
2117,2118,N-Boc_deprotection,2327,{2326},Cc1ccc(N)cc1NC(=O)C1(C)CCCO1,{'Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1(C)CCCO1'},<rdkit.Chem.rdchem.Mol object at 0x7f6f27895f90>,{<rdkit.Chem.rdchem.Mol object at 0x7f6eec052180>},Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1(C)CCCO1>>Cc1ccc(N)cc1NC(=O)C1(C)CCCO1,"{'Cc1ccc(N)cc1NC(=O)C1(C)CCCO1', 'Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1(C)CCCO1'}"
2118,2119,Amidation,2328,"{89, 2327}",Cc1ccc(NC(=O)CC#N)cc1NC(=O)C1(C)CCCO1,"{'Cc1ccc(N)cc1NC(=O)C1(C)CCCO1', 'N#CCC(=O)O'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2781a040>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec052220>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0521d0>}",Cc1ccc(N)cc1NC(=O)C1(C)CCCO1.N#CCC(=O)O>>Cc1ccc(NC(=O)CC#N)cc1NC(=O)C1(C)CCCO1,"{'Cc1ccc(N)cc1NC(=O)C1(C)CCCO1', 'N#CCC(=O)O', 'Cc1ccc(NC(=O)CC#N)cc1NC(=O)C1(C)CCCO1'}"
2126,2127,Amidation,2336,"{147, 2164}",N#CC1(C(=O)Nc2cccc(NC(=O)C3CCCO3)c2)CC1,"{'Nc1cccc(NC(=O)C2CCCO2)c1', 'N#CC1(C(=O)O)CC1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2781a2c0>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec052680>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec052630>}",Nc1cccc(NC(=O)C2CCCO2)c1.N#CC1(C(=O)O)CC1>>N#CC1(C(=O)Nc2cccc(NC(=O)C3CCCO3)c2)CC1,"{'Nc1cccc(NC(=O)C2CCCO2)c1', 'N#CC1(C(=O)O)CC1', 'N#CC1(C(=O)Nc2cccc(NC(=O)C3CCCO3)c2)CC1'}"
2153,2154,Amidation,2365,"{2182, 119}",CC(C#N)C(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,"{'CC(C#N)C(=O)O', 'Nc1cc(NC(=O)C2CCCO2)ccc1F'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2781ab30>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec059590>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec059540>}",CC(C#N)C(=O)O.Nc1cc(NC(=O)C2CCCO2)ccc1F>>CC(C#N)C(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,"{'CC(C#N)C(=O)O', 'CC(C#N)C(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F', 'Nc1cc(NC(=O)C2CCCO2)ccc1F'}"
2166,2167,Amidation,2378,"{2261, 119}",Cc1ccc(NC(=O)C(C)C#N)cc1NC(=O)C1CCCO1,"{'CC(C#N)C(=O)O', 'Cc1ccc(N)cc1NC(=O)C1CCCO1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2781af40>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec059cc0>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec059c70>}",CC(C#N)C(=O)O.Cc1ccc(N)cc1NC(=O)C1CCCO1>>Cc1ccc(NC(=O)C(C)C#N)cc1NC(=O)C1CCCO1,"{'Cc1ccc(NC(=O)C(C)C#N)cc1NC(=O)C1CCCO1', 'CC(C#N)C(=O)O', 'Cc1ccc(N)cc1NC(=O)C1CCCO1'}"
2174,2175,Amidation,2386,"{2201, 119}",CC(C#N)C(=O)Nc1cccc(NC(=O)C2(C)CCCO2)c1,"{'CC(C#N)C(=O)O', 'CC1(C(=O)Nc2cccc(N)c2)CCCO1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2781e220>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec05e180>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec05e130>}",CC(C#N)C(=O)O.CC1(C(=O)Nc2cccc(N)c2)CCCO1>>CC(C#N)C(=O)Nc1cccc(NC(=O)C2(C)CCCO2)c1,"{'CC(C#N)C(=O)Nc1cccc(NC(=O)C2(C)CCCO2)c1', 'CC(C#N)C(=O)O', 'CC1(C(=O)Nc2cccc(N)c2)CCCO1'}"
2227,2228,Amidation,2439,"{2185, 119}",CC(C#N)C(=O)Nc1cccc(NC(=O)C2CCC(=O)O2)c1,"{'Nc1cccc(NC(=O)C2CCC(=O)O2)c1', 'CC(C#N)C(=O)O'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f27826310>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec066e00>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec066e50>}",Nc1cccc(NC(=O)C2CCC(=O)O2)c1.CC(C#N)C(=O)O>>CC(C#N)C(=O)Nc1cccc(NC(=O)C2CCC(=O)O2)c1,"{'Nc1cccc(NC(=O)C2CCC(=O)O2)c1', 'CC(C#N)C(=O)O', 'CC(C#N)C(=O)Nc1cccc(NC(=O)C2CCC(=O)O2)c1'}"
2229,2230,Amidation,2442,"{2441, 85}",CC(C)(C)OC(=O)N1CCc2ccc(NC(=O)C3CCCO3)cc21,"{'O=C(O)C1CCCO1', 'CC(C)(C)OC(=O)N1CCc2ccc(N)cc21'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f278263b0>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec066f90>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec066f40>}",O=C(O)C1CCCO1.CC(C)(C)OC(=O)N1CCc2ccc(N)cc21>>CC(C)(C)OC(=O)N1CCc2ccc(NC(=O)C3CCCO3)cc21,"{'O=C(O)C1CCCO1', 'CC(C)(C)OC(=O)N1CCc2ccc(NC(=O)C3CCCO3)cc21', 'CC(C)(C)OC(=O)N1CCc2ccc(N)cc21'}"
2230,2231,N-Boc_deprotection,2443,{2442},O=C(Nc1ccc2c(c1)NCC2)C1CCCO1,{'CC(C)(C)OC(=O)N1CCc2ccc(NC(=O)C3CCCO3)cc21'},<rdkit.Chem.rdchem.Mol object at 0x7f6f27826400>,{<rdkit.Chem.rdchem.Mol object at 0x7f6eec06d040>},CC(C)(C)OC(=O)N1CCc2ccc(NC(=O)C3CCCO3)cc21>>O=C(Nc1ccc2c(c1)NCC2)C1CCCO1,"{'O=C(Nc1ccc2c(c1)NCC2)C1CCCO1', 'CC(C)(C)OC(=O)N1CCc2ccc(NC(=O)C3CCCO3)cc21'}"
2231,2232,Amidation,2444,"{89, 2443}",N#CCC(=O)N1CCc2ccc(NC(=O)C3CCCO3)cc21,"{'O=C(Nc1ccc2c(c1)NCC2)C1CCCO1', 'N#CCC(=O)O'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f27826450>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec06d090>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec06d0e0>}",O=C(Nc1ccc2c(c1)NCC2)C1CCCO1.N#CCC(=O)O>>N#CCC(=O)N1CCc2ccc(NC(=O)C3CCCO3)cc21,"{'O=C(Nc1ccc2c(c1)NCC2)C1CCCO1', 'N#CCC(=O)N1CCc2ccc(NC(=O)C3CCCO3)cc21', 'N#CCC(=O)O'}"
2240,2241,Amidation,2453,"{95, 2255}",Cc1ccc(NC(=O)C2CCC(=O)O2)cc1NC(=O)OC(C)(C)C,"{'O=C1CCC(C(=O)O)O1', 'Cc1ccc(N)cc1NC(=O)OC(C)(C)C'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f27826720>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec06d590>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec06d5e0>}",O=C1CCC(C(=O)O)O1.Cc1ccc(N)cc1NC(=O)OC(C)(C)C>>Cc1ccc(NC(=O)C2CCC(=O)O2)cc1NC(=O)OC(C)(C)C,"{'O=C1CCC(C(=O)O)O1', 'Cc1ccc(N)cc1NC(=O)OC(C)(C)C', 'Cc1ccc(NC(=O)C2CCC(=O)O2)cc1NC(=O)OC(C)(C)C'}"
2241,2242,N-Boc_deprotection,2454,{2453},Cc1ccc(NC(=O)C2CCC(=O)O2)cc1N,{'Cc1ccc(NC(=O)C2CCC(=O)O2)cc1NC(=O)OC(C)(C)C'},<rdkit.Chem.rdchem.Mol object at 0x7f6f27826770>,{<rdkit.Chem.rdchem.Mol object at 0x7f6eec06d630>},Cc1ccc(NC(=O)C2CCC(=O)O2)cc1NC(=O)OC(C)(C)C>>Cc1ccc(NC(=O)C2CCC(=O)O2)cc1N,"{'Cc1ccc(NC(=O)C2CCC(=O)O2)cc1N', 'Cc1ccc(NC(=O)C2CCC(=O)O2)cc1NC(=O)OC(C)(C)C'}"
