Code,Long code,Compound code,Smiles,ConformerSites,CanonSites,CrystalformSites,Quatassemblies,Crystalforms,[Series] Taggy McTagface
A71x0586a,A71EV2A-x0586_A_147_A71EV2A-x0541+A+147+1,Z1333043510,CN1CCCc2ccc(S(N)(=O)=O)cc21,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0269a,A71EV2A-x0269_A_147_A71EV2A-x0395+A+148+1,Z1456069604,O=C(N[C@@H]1CCCNC1)c1ccccc1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0278a,A71EV2A-x0278_A_201_A71EV2A-x0528+A+147+1,Z1491353358,N[C@H]1CCN(S(=O)(=O)c2ccccc2)C1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0278b,A71EV2A-x0278_A_147_A71EV2A-x0541+A+147+1,Z1491353358,N[C@H]1CCN(S(=O)(=O)c2ccccc2)C1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0305a,A71EV2A-x0305_A_147_A71EV2A-x0541+A+147+1,Z1639162606,CNS(=O)(=O)c1cccc(C)c1F,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0309a,A71EV2A-x0309_A_147_A71EV2A-x0486+A+147+1,Z1685106505,Cn1ccnc1-c1noc(C2CCC2)n1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0310a,A71EV2A-x0310_A_147_A71EV2A-x0528+A+147+1,Z1688504114,Cc1nn(C)c(C)c1NC(=O)CC#N,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0608a,A71EV2A-x0608_A_147_A71EV2A-x0486+A+147+1,Z2064898339,Cc1ccc(CC(=O)NC[C@@H]2CCCO2)cc1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0691a,A71EV2A-x0691_A_201_A71EV2A-x0541+A+147+1,Z285782452,CNc1ccccc1S(C)(=O)=O,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0152a,A71EV2A-x0152_A_147_A71EV2A-x0528+A+147+1,Z31602870,O=C1CN(C(=O)COc2ccccc2)CCN1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0152b,A71EV2A-x0152_A_201_A71EV2A-x0395+A+148+1,Z31602870,O=C1CN(C(=O)COc2ccccc2)CCN1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0188a,A71EV2A-x0188_A_147_A71EV2A-x0541+A+147+1,Z355202286,CC[C@@H]1CN(S(=O)(=O)N(C)C)CCO1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0194a,A71EV2A-x0194_A_147_A71EV2A-x0395+A+148+1,Z3664805965,Fc1ccccc1CNC1CCOCC1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0202a,A71EV2A-x0202_A_147_A71EV2A-x0395+A+148+1,Z3765495818,NS(=O)(=O)c1cnc2cccnn12,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0202b,A71EV2A-x0202_A_201_A71EV2A-x0488+A+147+1,Z3765495818,NS(=O)(=O)c1cnc2cccnn12,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0211a,A71EV2A-x0211_A_201_A71EV2A-x0528+A+147+1,Z385450668,NS(=O)(=O)c1ccccc1OC(F)F,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
